Season,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2007-2008,Round of 16,Wed,2008-03-05,,Porto,(1)1–0(4),Schalke 04,,Estádio do Dragão,Howard Webb,Match Report,Leg 2 of 2; Schalke 04 won; Schalke 04 won on penalty kicks following extra time
2007-2008,Round of 16,Wed,2008-03-05,,Chelsea,3–0,grOlympiacos,,Stamford Bridge,Mejuto González,Match Report,Leg 2 of 2; Chelsea won
2007-2008,Round of 16,Wed,2008-03-05,,Real Madrid,1–2,Roma,,Estadio Santiago Bernabéu,Kyros Vassaras,Match Report,Leg 2 of 2; Roma won
2007-2008,Round of 16,Tue,2008-03-11,,Inter,0–1,Liverpool,,Stadio Giuseppe Meazza,Tom Henning Øvrebø,Match Report,Leg 2 of 2; Liverpool won
2007-2008,Quarter-finals,Tue,2008-04-01,,Schalke 04,0–1,Barcelona,,Arena AufSchalke,Kyros Vassaras,Match Report,Leg 1 of 2
2007-2008,Quarter-finals,Tue,2008-04-01,,Roma,0–2,Manchester Utd,,Stadio Olimpico,Frank de Bleeckere,Match Report,Leg 1 of 2
2007-2008,Quarter-finals,Wed,2008-04-02,,Arsenal,1–1,Liverpool,,Arsenal Stadium,Pieter Vink,Match Report,Leg 1 of 2
2007-2008,Quarter-finals,Wed,2008-04-02,,Fenerbahçetr,2–1,Chelsea,,Şükrü Saracoğlu,Claus Bo Larsen,Match Report,Leg 1 of 2
2007-2008,Quarter-finals,Tue,2008-04-08,,Chelsea,2–0,trFenerbahçe,,Stamford Bridge,Herbert Fandel,Match Report,Leg 2 of 2; Chelsea won
2007-2008,Quarter-finals,Tue,2008-04-08,,Liverpool,4–2,Arsenal,,Anfield,Peter Fröjdfeldt,Match Report,Leg 2 of 2; Liverpool won
2007-2008,Quarter-finals,Wed,2008-04-09,,Barcelona,1–0,Schalke 04,,Camp Nou,Roberto Rosetti,Match Report,Leg 2 of 2; Barcelona won
2007-2008,Quarter-finals,Wed,2008-04-09,,Manchester Utd,1–0,Roma,,Old Trafford,Tom Henning Øvrebø,Match Report,Leg 2 of 2; Manchester Utd won
2007-2008,Semi-finals,Tue,2008-04-22,,Liverpool,1–1,Chelsea,,Anfield,Konrad Plautz,Match Report,Leg 1 of 2
2007-2008,Semi-finals,Wed,2008-04-23,,Barcelona,0–0,Manchester Utd,,Camp Nou,Massimo Busacca,Match Report,Leg 1 of 2
2007-2008,Semi-finals,Tue,2008-04-29,,Manchester Utd,1–0,Barcelona,,Old Trafford,Herbert Fandel,Match Report,Leg 2 of 2; Manchester Utd won
2007-2008,Semi-finals,Wed,2008-04-30,,Chelsea,3–2,Liverpool,,Stamford Bridge,Roberto Rosetti,Match Report,Leg 2 of 2; Chelsea won; Required Extra Time
2007-2008,Final,Wed,2008-05-21,,Manchester Utd,(6)1–1(5),Chelsea,,Stadion Luzhniki (Neutral Site),Ľuboš Michel,Match Report,Manchester Utd won on penalty kicks following extra time
2008-2009,Round of 16,Tue,2009-02-24,,Inter,0–0,Manchester Utd,,Stadio Giuseppe Meazza,Medina Cantalejo,Match Report,Leg 1 of 2
2008-2009,Round of 16,Tue,2009-02-24,,Arsenal,1–0,Roma,,Arsenal Stadium,Claus Bo Larsen,Match Report,Leg 1 of 2
2008-2009,Round of 16,Tue,2009-02-24,,Lyon,1–1,Barcelona,,Stade de Gerland,Wolfgang Stark,Match Report,Leg 1 of 2
2008-2009,Round of 16,Tue,2009-02-24,,Atlético Madrid,2–2,Porto,,Estadio Vicente Calderón,Howard Webb,Match Report,Leg 1 of 2
2008-2009,Round of 16,Wed,2009-02-25,,Sporting CP,0–5,Bayern Munich,,José Alvalade,Bertrand Layec,Match Report,Leg 1 of 2
2008-2009,Round of 16,Wed,2009-02-25,,Chelsea,1–0,Juventus,,Stamford Bridge,Olegário Benquerença,Match Report,Leg 1 of 2
2008-2009,Round of 16,Wed,2009-02-25,,Real Madrid,0–1,Liverpool,,Estadio Santiago Bernabéu,Roberto Rosetti,Match Report,Leg 1 of 2
2008-2009,Round of 16,Wed,2009-02-25,,Villarreal,1–1,grPanathinaikos,,Estadio El Madrigal,Konrad Plautz,Match Report,Leg 1 of 2
2008-2009,Round of 16,Tue,2009-03-10,,Panathinaikosgr,1–2,Villarreal,,OAKA Spiros Louis,Massimo Busacca,Match Report,Leg 2 of 2; Villarreal won
2008-2009,Round of 16,Tue,2009-03-10,,Bayern Munich,7–1,Sporting CP,,Fußball Arena München,Martin Hansson,Match Report,Leg 2 of 2; Bayern Munich won
2008-2009,Round of 16,Tue,2009-03-10,,Juventus,2–2,Chelsea,,Stadio Olimpico,Undiano Mallenco,Match Report,Leg 2 of 2; Chelsea won
2008-2009,Round of 16,Tue,2009-03-10,,Liverpool,4–0,Real Madrid,,Anfield,Frank de Bleeckere,Match Report,Leg 2 of 2; Liverpool won
2008-2009,Round of 16,Wed,2009-03-11,,Roma,(6)1–0(7),Arsenal,,Stadio Olimpico,Mejuto González,Match Report,Leg 2 of 2; Arsenal won; Arsenal won on penalty kicks following extra time
2008-2009,Round of 16,Wed,2009-03-11,,Manchester Utd,2–0,Inter,,Old Trafford,Wolfgang Stark,Match Report,Leg 2 of 2; Manchester Utd won
2008-2009,Round of 16,Wed,2009-03-11,,Porto,0–0,Atlético Madrid,,Estádio do Dragão,Pieter Vink,Match Report,Leg 2 of 2; Porto won
2008-2009,Round of 16,Wed,2009-03-11,,Barcelona,5–2,Lyon,,Camp Nou,Tom Henning Øvrebø,Match Report,Leg 2 of 2; Barcelona won
2008-2009,Quarter-finals,Tue,2009-04-07,,Villarreal,1–1,Arsenal,,Estadio El Madrigal,Tom Henning Øvrebø,Match Report,Leg 1 of 2
2008-2009,Quarter-finals,Tue,2009-04-07,,Manchester Utd,2–2,Porto,,Old Trafford,Konrad Plautz,Match Report,Leg 1 of 2
2008-2009,Quarter-finals,Wed,2009-04-08,,Barcelona,4–0,Bayern Munich,,Camp Nou,Howard Webb,Match Report,Leg 1 of 2
2008-2009,Quarter-finals,Wed,2009-04-08,,Liverpool,1–3,Chelsea,,Anfield,Claus Bo Larsen,Match Report,Leg 1 of 2
2008-2009,Quarter-finals,Tue,2009-04-14,,Chelsea,4–4,Liverpool,,Stamford Bridge,Medina Cantalejo,Match Report,Leg 2 of 2; Chelsea won
2008-2009,Quarter-finals,Tue,2009-04-14,,Bayern Munich,1–1,Barcelona,,Fußball Arena München,Roberto Rosetti,Match Report,Leg 2 of 2; Barcelona won
2008-2009,Quarter-finals,Wed,2009-04-15,,Porto,0–1,Manchester Utd,,Estádio do Dragão,Massimo Busacca,Match Report,Leg 2 of 2; Manchester Utd won
2008-2009,Quarter-finals,Wed,2009-04-15,,Arsenal,3–0,Villarreal,,Arsenal Stadium,Wolfgang Stark,Match Report,Leg 2 of 2; Arsenal won
2008-2009,Semi-finals,Tue,2009-04-28,,Barcelona,0–0,Chelsea,,Camp Nou,Wolfgang Stark,Match Report,Leg 1 of 2
2008-2009,Semi-finals,Wed,2009-04-29,,Manchester Utd,1–0,Arsenal,,Old Trafford,Claus Bo Larsen,Match Report,Leg 1 of 2
2008-2009,Semi-finals,Tue,2009-05-05,,Arsenal,1–3,Manchester Utd,,Arsenal Stadium,Roberto Rosetti,Match Report,Leg 2 of 2; Manchester Utd won
2008-2009,Semi-finals,Wed,2009-05-06,,Chelsea,1–1,Barcelona,,Stamford Bridge,Tom Henning Øvrebø,Match Report,Leg 2 of 2; Barcelona won
2008-2009,Final,Wed,2009-05-27,,Barcelona,2–0,Manchester Utd,,Stadio Olimpico (Neutral Site),Massimo Busacca,Match Report,
2009-2010,Round of 16,Tue,2010-02-16,,Lyon,1–0,Real Madrid,,Stade de Gerland,Martin Atkinson,Match Report,Leg 1 of 2
2009-2010,Round of 16,Tue,2010-02-16,,Milan,2–3,Manchester Utd,,Stadio Giuseppe Meazza,Olegário Benquerença,Match Report,Leg 1 of 2
2009-2010,Round of 16,Wed,2010-02-17,,Porto,2–1,Arsenal,,Estádio do Dragão,Martin Hansson,Match Report,Leg 1 of 2
2009-2010,Round of 16,Wed,2010-02-17,,Bayern Munich,2–1,Fiorentina,,Fußball Arena München,Tom Henning Øvrebø,Match Report,Leg 1 of 2
2009-2010,Round of 16,Tue,2010-02-23,,Olympiacosgr,0–1,Bordeaux,,Stadio Georgios Karaiskakis,Howard Webb,Match Report,Leg 1 of 2
