Season,Round,Day,Date,Home,Score,Away,Venue,Referee
2016-2017,Final,Sat,2017-06-03,Juventus,1-4,Real Madrid,National Stadium (Neutral Site),Felix Brych
2015-2016,Round of 16,Tue,2016-02-16,Benfica,1-0,Zenit,Estádio do Sport Lisboa e Benfica,Gianluca Rocchi
2015-2016,Round of 16,Tue,2016-02-16,Paris S-G,2-1,Chelsea,Parc des Princes,Carlos Velasco
2015-2016,Round of 16,Wed,2016-02-17,Roma,0-2,Real Madrid,Stadio Olimpico,Pavel Královec
2015-2016,Round of 16,Wed,2016-02-17,Gent,2-3,Wolfsburg,GHELAMCO-arena,Svein Oddvar Moen
2015-2016,Round of 16,Tue,2016-02-23,Arsenal,0-2,Barcelona,Emirates Stadium,Cüneyt Çakιr
2015-2016,Round of 16,Tue,2016-02-23,Juventus,2-2,Bayern Munich,Allianz Stadium,Martin Atkinson
2015-2016,Round of 16,Wed,2016-02-24,PSV Eindhoven,0-0,Atlético Madrid,Philips Stadion,Daniele Orsato
2015-2016,Round of 16,Wed,2016-02-24,Dynamo Kyiv,1-3,Manchester City,NSK Olimpijs'kyj,Antonio Matéu Lahoz
2015-2016,Round of 16,Tue,2016-03-08,Wolfsburg,1-0,Gent,Volkswagen Arena,Damir Skomina
2015-2016,Round of 16,Tue,2016-03-08,Real Madrid,2-0,Roma,Estadio Santiago Bernabéu,Szymon Marciniak
2015-2016,Round of 16,Wed,2016-03-09,Chelsea,1-2,Paris S-G,Stamford Bridge,Felix Brych
2015-2016,Round of 16,Wed,2016-03-09,Zenit,1-2,Benfica,Stadion Petrovskij,Viktor Kassai
2015-2016,Round of 16,Tue,2016-03-15,Manchester City,0-0,Dynamo Kyiv,Etihad Stadium,Ovidiu Hațegan
2015-2016,Round of 16,Tue,2016-03-15,Atlético Madrid,0-0,PSV Eindhoven,Estadio Vicente Calderón,Mark Clattenburg
2015-2016,Round of 16,Wed,2016-03-16,Barcelona,3-1,Arsenal,Camp Nou,Sergey Karasev
2015-2016,Round of 16,Wed,2016-03-16,Bayern Munich,4-2,Juventus,Allianz Arena,Jonas Eriksson
2015-2016,Quarter-finals,Tue,2016-04-05,Bayern Munich,1-0,Benfica,Allianz Arena,Szymon Marciniak
2015-2016,Quarter-finals,Tue,2016-04-05,Barcelona,2-1,Atlético Madrid,Camp Nou,Felix Brych
2015-2016,Quarter-finals,Wed,2016-04-06,Paris S-G,2-2,Manchester City,Parc des Princes,Milorad Mažić
2015-2016,Quarter-finals,Wed,2016-04-06,Wolfsburg,2-0,Real Madrid,Volkswagen Arena,Gianluca Rocchi
2015-2016,Quarter-finals,Tue,2016-04-12,Manchester City,1-0,Paris S-G,Etihad Stadium,Carlos Velasco
2015-2016,Quarter-finals,Tue,2016-04-12,Real Madrid,3-0,Wolfsburg,Estadio Santiago Bernabéu,Viktor Kassai
2015-2016,Quarter-finals,Wed,2016-04-13,Benfica,2-2,Bayern Munich,Estádio do Sport Lisboa e Benfica,Björn Kuipers
2015-2016,Quarter-finals,Wed,2016-04-13,Atlético Madrid,2-0,Barcelona,Estadio Vicente Calderón,Nicola Rizzoli
2015-2016,Semi-finals,Tue,2016-04-26,Manchester City,0-0,Real Madrid,Etihad Stadium,Cüneyt Çakιr
